Seed, Checksum, Random Portals Setting (Total Greens + Reds, D[IJLTZ], N[LZ])
672183949, 00E28B8A, Random Portals (19, 1 3 2 2 2, 7 2)
677428954, 5AC9CB43, Random Portals (22, 1 3 2 3 2, 6 5)
682052760, 8F652C21, Random Portals (21, 1 3 2 2 3, 6 4)
689487660, 7631F71F, Random Portals (20, 1 3 2 2 3, 6 3)
695163116, 33FEF9D6, Random Portals (24, 1 4 2 3 2, 7 5)
695982045, C872374E, Random Portals (24, 1 4 2 2 2, 10 3)
715521485, E6A3552D, Random Portals (23, 1 3 3 3 3, 7 3)
749409442, CC4ACDAC, Random Portals (18, 1 3 2 2 2, 4 4)
753223655, 8243CE6B, Random Portals (21, 1 3 2 3 2, 7 3)
756329897, 372AA628, Random Portals (18, 1 3 2 2 2, 4 4)
767834826, ABF63178, Random Portals (22, 1 3 2 2 2, 8 4)
785422487, A9074C81, Random Portals (18, 1 3 3 2 2, 4 3)
802041271, 7F963086, Random Portals (20, 1 5 2 2 2, 5 3)
806018241, 2C03F3D7, Random Portals (22, 1 3 2 2 2, 7 5)
822892005, 3F4A856E, Random Portals (23, 1 3 2 2 3, 7 5)
827560285, A4F29F4C, Random Portals (21, 1 3 2 4 2, 5 4)
831078399, A65A42FE, Random Portals (20, 1 3 2 2 2, 7 3)
835992093, 06D590A3, Random Portals (22, 1 3 2 2 2, 6 6)
848702602, 2CA5D333, Random Portals (20, 1 3 2 2 2, 8 2)
867796122, 3CB54669, Random Portals (16, 1 3 2 2 2, 3 3)
876725433, 9870A7C4, Random Portals (17, 1 3 2 2 2, 4 3)
878036163, 46900F90, Random Portals (20, 1 3 2 3 2, 7 2)
878571141, DF4CC24E, Random Portals (23, 1 3 2 3 2, 6 6)
890348860, F2AC0CC6, Random Portals (19, 1 3 3 2 2, 6 2)
891369424, 7E4D5739, Random Portals (21, 1 3 3 3 2, 6 3)
895679985, 1EB10799, Random Portals (22, 1 3 2 2 3, 7 4)
923706597, 6A9670D4, Random Portals (21, 1 4 2 2 2, 5 5)
934264784, 217ABF72, Random Portals (18, 1 3 2 2 2, 6 2)
939889631, 14B09286, Random Portals (20, 1 3 3 2 3, 5 3)
942223642, 5A7F813D, Random Portals (17, 1 3 2 2 2, 4 3)
957542813, 34C504A9, Random Portals (20, 1 3 2 2 3, 4 5)
958334889, EF79B9F1, Random Portals (22, 1 3 2 4 2, 6 4)
966497364, CD6F9783, Random Portals (17, 1 3 2 2 2, 3 4)
1001392359, 3ACB2731, Random Portals (22, 1 3 2 3 2, 6 5)
1011103572, 37D51131, Random Portals (20, 1 3 2 3 2, 6 3)
1011739500, 59B64336, Random Portals (18, 1 3 2 3 2, 4 3)
1028014185, 2666FA72, Random Portals (22, 1 4 2 2 2, 5 6)
1033878559, 59CC51A2, Random Portals (22, 1 3 2 4 2, 7 3)
1065782306, 945EF17C, Random Portals (21, 1 3 3 2 2, 7 3)
1094639285, C866F2CA, Random Portals (21, 1 4 2 3 3, 4 4)
1099794705, 5D76D41C, Random Portals (21, 1 3 2 3 2, 7 3)
1172295834, 13255741, Random Portals (19, 1 3 2 2 2, 7 2)
1177833436, 07873F1D, Random Portals (23, 1 3 3 2 2, 7 5)
1206416644, FB59E671, Random Portals (22, 1 3 3 2 3, 6 4)
1220264997, AF6DF993, Random Portals (26, 1 5 2 2 3, 8 5)
1225238023, 99B32A63, Random Portals (21, 1 3 2 2 3, 6 4)
1231990088, A8ACAB50, Random Portals (23, 1 3 2 2 3, 7 5)
1269461431, 2D81C15D, Random Portals (23, 1 3 2 3 3, 6 5)
1282214762, 36470321, Random Portals (18, 1 3 2 2 2, 4 4)
1286961145, 225D04BD, Random Portals (18, 1 3 2 2 3, 5 2)
1294557446, 2654C9D2, Random Portals (21, 1 3 2 2 2, 6 5)
1317704412, 01E96FDB, Random Portals (22, 1 3 2 4 2, 7 3)
1354066665, EAC395FF, Random Portals (22, 1 3 2 2 2, 8 4)
1356827309, 5F428C16, Random Portals (21, 1 3 2 3 2, 5 5)
1363059616, BF88209E, Random Portals (16, 1 3 2 2 2, 4 2)
1363653594, B5ADA383, Random Portals (19, 1 3 2 2 2, 6 3)
1367257618, 298B0F25, Random Portals (18, 1 3 2 3 2, 5 2)
1367454876, 2FC01DAC, Random Portals (21, 1 3 2 2 3, 5 5)
1374312945, C4B34EC9, Random Portals (19, 1 4 2 2 3, 3 4)
1378261267, 362081FE, Random Portals (19, 1 3 2 2 3, 5 3)
1415875501, 8A7290B8, Random Portals (20, 1 3 3 3 2, 5 3)
1422134247, 96FA66BE, Random Portals (23, 1 3 3 2 2, 7 5)
1435145466, 1DB7B79D, Random Portals (21, 1 3 2 2 2, 7 4)
1448192106, A3D79893, Random Portals (21, 1 3 3 2 3, 4 5)
1448447287, A57B368F, Random Portals (20, 1 3 2 2 3, 6 3)
1466155507, D31D8527, Random Portals (27, 1 3 2 2 4, 10 5)
1502236843, CC5CA0B6, Random Portals (19, 1 3 2 2 3, 6 2)
1505050719, 5A25BE5B, Random Portals (23, 1 3 2 3 2, 8 4)
1518551860, 7AF79699, Random Portals (21, 1 3 3 3 2, 7 2)
1553150293, 24C02952, Random Portals (20, 1 3 2 2 2, 6 4)
1562973098, 3FB3DD8B, Random Portals (18, 1 3 2 3 2, 5 2)
1571578124, 25D40A90, Random Portals (21, 1 3 2 2 2, 6 5)
1579625781, B872CD34, Random Portals (19, 1 4 2 2 2, 4 4)
1594940913, D836EE8E, Random Portals (21, 1 3 2 2 2, 7 4)
1619754922, 3C0DA7CD, Random Portals (22, 1 3 2 3 2, 7 4)
1652178188, 82C5399F, Random Portals (18, 1 3 2 2 2, 6 2)
1656548609, CA98BC5E, Random Portals (22, 1 3 2 3 2, 8 3)
1668317643, A95A5B6C, Random Portals (21, 1 4 2 2 2, 6 4)
1675594503, C48E9D70, Random Portals (21, 1 4 2 2 2, 6 4)
1676186543, EC22C78E, Random Portals (20, 1 3 2 2 2, 6 4)
1677261180, ACC0B600, Random Portals (20, 1 3 2 2 3, 6 3)
1685860722, DE9BBC4D, Random Portals (22, 1 3 2 2 2, 7 5)
1692379642, 85735819, Random Portals (21, 1 4 3 3 2, 5 3)
1694595248, 29CBF343, Random Portals (20, 1 3 2 3 2, 5 4)
1704707533, 31E4C972, Random Portals (23, 1 3 2 3 3, 6 5)
1709538150, 89B73303, Random Portals (22, 1 3 2 2 3, 6 5)
1725404561, 46739EB3, Random Portals (21, 1 4 2 3 2, 5 4)
1734630095, E8DB92C1, Random Portals (20, 1 3 3 3 2, 5 3)
1749286172, B9CE9522, Random Portals (24, 1 3 3 2 2, 9 4)
1751837571, B02E2B0E, Random Portals (20, 1 3 2 2 2, 8 2)
1752992792, 35E87A50, Random Portals (18, 1 3 2 3 2, 3 4)
1771454972, D8BC0E66, Random Portals (20, 1 3 2 2 3, 5 4)
1785635900, 57DCB30A, Random Portals (20, 1 3 2 4 2, 6 2)
1799435105, 64B9B577, Random Portals (22, 1 3 2 2 2, 7 5)
1800880589, 4AD8823A, Random Portals (20, 1 3 2 2 3, 6 3)
1803571590, E12FD277, Random Portals (23, 1 3 2 3 2, 8 4)
1805523809, F8E42D52, Random Portals (21, 1 3 2 2 2, 6 5)
1809684167, BF223AD8, Random Portals (20, 1 4 3 2 3, 3 4)
1815725310, 72524640, Random Portals (18, 1 3 2 2 2, 4 4)
1817240470, E5B1892D, Random Portals (23, 1 3 2 2 4, 7 4)
1831239558, CC32C55A, Random Portals (22, 1 3 2 3 4, 5 4)
1843680723, 34AA125A, Random Portals (20, 1 3 2 3 2, 5 4)
1849706897, 15C5E849, Random Portals (21, 1 3 3 2 2, 7 3)
1863852930, 00C048EA, Random Portals (22, 1 3 2 3 3, 7 3)
1906365807, E78C9B5A, Random Portals (20, 1 3 3 2 2, 6 3)
1928174449, 491F4FCF, Random Portals (18, 1 3 2 2 3, 4 3)
1935362167, F5783180, Random Portals (19, 1 3 2 2 2, 7 2)
1972695051, DB42CA46, Random Portals (20, 1 3 2 2 2, 8 2)
1979323457, EF6C07EE, Random Portals (20, 1 3 2 3 2, 5 4)
1985393072, 3A069C96, Random Portals (19, 1 3 2 2 3, 4 4)
2004190628, 83B3BEEB, Random Portals (18, 1 3 2 2 2, 5 3)
2007473887, 8CAF90A7, Random Portals (23, 1 3 3 3 2, 7 4)
2013419287, 0BA4FCBE, Random Portals (22, 1 3 2 3 3, 7 3)
2024629313, 7FF7B0EF, Random Portals (23, 1 3 2 3 3, 7 4)
2035019057, 8093C711, Random Portals (20, 1 3 2 2 2, 5 5)
2048648978, F2DF4E5B, Random Portals (23, 1 4 2 2 2, 9 3)
2071012969, 1FEDE263, Random Portals (22, 1 3 3 2 2, 7 4)
2073613206, B537AE23, Random Portals (17, 1 3 2 2 3, 4 2)
2075038677, 20D3414D, Random Portals (23, 1 3 3 3 2, 8 3)
2096597975, 896C3A6A, Random Portals (27, 1 3 3 3 3, 10 4)
2099211356, 19169A40, Random Portals (23, 1 3 2 3 2, 8 4)
2106672599, D7667FF0, Random Portals (21, 1 3 2 2 2, 6 5)
2108382714, 36A30F57, Random Portals (21, 1 3 2 2 3, 6 4)
2114064527, 60ABAD29, Random Portals (19, 1 3 2 2 3, 6 2)
2122910730, D97D694D, Random Portals (18, 1 3 2 2 2, 5 3)
2126471601, 5B2C789A, Random Portals (21, 1 3 2 3 2, 6 4)
2133970213, 340E412C, Random Portals (23, 1 4 3 3 2, 6 4)
2146378863, 6BA403E2, Random Portals (23, 1 3 2 3 2, 8 4)
