Seed, Checksum, Random Portals Setting (Total Greens + Reds, D[IJLTZ], N[LZ])
677236221, AC767836, Standard Portals (22, 1 3 2 2 2, 7 5)
688021816, 36BC31DC, Standard Portals (19, 1 3 2 2 2, 6 3)
691737195, 9C89D7C5, Standard Portals (21, 1 3 3 3 2, 6 3)
703174451, 2C2DEE7B, Standard Portals (19, 1 3 2 2 2, 4 5)
721109185, 2BC31FFD, Standard Portals (21, 1 3 3 3 2, 5 4)
721284651, 180866DA, Standard Portals (20, 1 3 3 3 2, 5 3)
738846201, C8E41BCC, Standard Portals (19, 1 3 2 2 2, 5 4)
740353756, 89DC9896, Standard Portals (21, 1 3 2 3 2, 5 5)
741405695, E549012F, Standard Portals (18, 1 3 2 2 2, 5 3)
745410689, 56A0509E, Standard Portals (22, 1 4 3 2 3, 5 4)
748122962, 46B87AD0, Standard Portals (21, 1 3 2 2 2, 8 3)
748729184, 4FC9382B, Standard Portals (22, 1 3 3 2 2, 7 4)
748882675, 2B99D0DB, Standard Portals (18, 1 3 2 3 2, 4 3)
749026287, FE896591, Standard Portals (23, 1 3 2 3 2, 8 4)
762614959, FB2A7B72, Standard Portals (17, 1 3 3 2 3, 3 2)
763649335, E2437199, Standard Portals (19, 1 3 2 3 2, 5 3)
764202578, 18E10EA3, Standard Portals (18, 1 3 2 2 2, 5 3)
765136504, 87A5DF51, Standard Portals (22, 1 3 3 2 2, 5 6)
773836161, DF2167CF, Standard Portals (21, 1 3 2 2 2, 8 3)
775830414, 296C8922, Standard Portals (22, 1 3 2 2 2, 7 5)
782031159, 8DEF83BF, Standard Portals (20, 1 3 2 2 2, 6 4)
784135099, 146EFAD4, Standard Portals (21, 1 3 2 2 3, 5 5)
786505867, 49FA8EF2, Standard Portals (19, 1 3 2 3 2, 6 2)
793993370, 09B86E2E, Standard Portals (21, 1 3 2 2 3, 5 5)
801704145, 2CB21C5A, Standard Portals (22, 1 3 3 2 2, 7 4)
828385005, BD8A1E22, Standard Portals (22, 1 3 2 2 2, 7 5)
829250808, C97C6646, Standard Portals (20, 1 3 3 2 2, 5 4)
837611038, 47645DD4, Standard Portals (21, 1 4 2 2 2, 5 5)
844788916, C0266728, Standard Portals (23, 1 4 2 3 3, 7 3)
844847141, 9B3B1D6D, Standard Portals (22, 1 3 2 2 3, 8 3)
845157897, 4CE1ACE9, Standard Portals (20, 1 3 3 2 3, 4 4)
845876643, 71623114, Standard Portals (21, 1 3 2 4 2, 6 3)
853818619, 1CB13BF9, Standard Portals (24, 1 4 2 3 3, 7 4)
854159945, 4C5420AC, Standard Portals (22, 1 3 2 3 2, 8 3)
858227564, 94456DA1, Standard Portals (23, 1 3 3 2 2, 8 4)
861787853, 97C6CA26, Standard Portals (18, 1 3 2 3 2, 4 3)
881183244, 66BD96D7, Standard Portals (23, 1 3 3 3 2, 7 4)
886469904, BB9A6AD6, Standard Portals (17, 1 3 2 2 2, 5 2)
890974839, 9B8CC956, Standard Portals (20, 1 3 2 3 3, 6 2)
891038878, A809BF2B, Standard Portals (20, 1 3 2 2 2, 6 4)
891501137, 3A5638B6, Standard Portals (22, 1 5 2 2 3, 5 4)
895239311, A22EC6D0, Standard Portals (22, 1 3 2 3 2, 7 4)
895705838, D4553335, Standard Portals (21, 1 3 2 2 2, 7 4)
897383189, E2524542, Standard Portals (20, 1 3 2 2 2, 7 3)
898453233, 0147905F, Standard Portals (17, 1 3 2 2 2, 4 3)
904513603, F2B0DBBC, Standard Portals (19, 1 3 2 2 2, 7 2)
907890215, 89D92477, Standard Portals (22, 1 3 2 3 2, 6 5)
909712591, 002EC9A8, Standard Portals (21, 1 3 3 3 2, 6 3)
913780843, D533982F, Standard Portals (22, 1 5 3 2 2, 6 3)
917555682, F3403A04, Standard Portals (23, 1 3 2 4 3, 7 3)
927569187, C611D027, Standard Portals (20, 1 4 2 2 3, 4 4)
938799868, 9AB4BCF8, Standard Portals (23, 1 4 2 2 2, 8 4)
944714030, 70E054A2, Standard Portals (19, 1 3 2 3 2, 4 4)
948001859, 3BBF2F5D, Standard Portals (19, 1 3 2 2 3, 4 4)
950836011, 7161D833, Standard Portals (20, 1 3 2 3 3, 5 3)
958023182, 3984487E, Standard Portals (20, 1 3 3 2 2, 5 4)
959907562, 76F91F11, Standard Portals (21, 1 3 3 2 2, 7 3)
960258967, 79A9A6C3, Standard Portals (22, 1 3 2 3 2, 6 5)
970703547, DFBF9B6F, Standard Portals (17, 1 3 2 3 2, 4 2)
972565244, 35807A02, Standard Portals (24, 1 3 2 3 3, 7 5)
972600572, 1DB24582, Standard Portals (19, 1 3 2 3 2, 3 5)
1006588537, 37CC142A, Standard Portals (24, 1 3 3 2 2, 8 5)
1009857047, 7EA7AC2D, Standard Portals (19, 1 3 2 2 2, 4 5)
1011352977, C14D7931, Standard Portals (20, 1 3 2 2 2, 6 4)
1013369872, 24849ECA, Standard Portals (25, 1 3 2 4 2, 8 5)
1013609963, 6FDE4C7A, Standard Portals (23, 1 3 3 2 3, 7 4)
1014439921, C370A974, Standard Portals (23, 1 3 3 3 2, 6 5)
1018642291, 4A9B1953, Standard Portals (21, 1 3 2 2 3, 6 4)
1044262031, 22C1CAF5, Standard Portals (20, 1 3 2 3 2, 4 5)
1045943947, DA079F87, Standard Portals (20, 1 3 3 2 2, 5 4)
1048138395, FCF0A884, Standard Portals (21, 1 3 2 2 2, 8 3)
1055810402, 7BDF3DC1, Standard Portals (21, 1 3 2 2 3, 7 3)
1059702371, 18F05054, Standard Portals (21, 1 3 2 3 2, 6 4)
1065821739, D166EA38, Standard Portals (23, 1 4 3 2 2, 7 4)
1083226155, 27E314A7, Standard Portals (20, 1 4 2 2 3, 5 3)
1098390306, E29F2EE3, Standard Portals (17, 1 3 3 2 2, 3 3)
1113996201, 16A9461B, Standard Portals (22, 1 3 3 2 2, 6 5)
1114119063, 150A9E06, Standard Portals (25, 1 4 2 2 3, 8 5)
1124825818, 28787DBC, Standard Portals (18, 1 3 3 2 2, 5 2)
1129926165, 7FF48B04, Standard Portals (17, 1 3 2 2 2, 5 2)
1135910305, 991AE482, Standard Portals (18, 1 3 2 2 2, 4 4)
1152276059, 36E3BAE3, Standard Portals (22, 1 3 2 2 2, 8 4)
1153772127, AF30D174, Standard Portals (22, 1 3 2 2 2, 6 6)
1172009793, E7EC1FB6, Standard Portals (25, 1 3 2 2 3, 10 4)
1173623843, 824FEB97, Standard Portals (19, 1 3 2 2 3, 5 3)
1183672784, 3F62F082, Standard Portals (20, 1 3 2 2 2, 5 5)
1185992614, D22FAC3B, Standard Portals (22, 1 3 3 2 2, 7 4)
1200898945, 403EF5A6, Standard Portals (17, 1 3 3 2 2, 4 2)
1203864424, 7063042D, Standard Portals (18, 1 3 2 2 2, 4 4)
1207704227, 8762BBA0, Standard Portals (18, 1 3 2 2 2, 4 4)
1210297863, 492D49D9, Standard Portals (19, 1 3 2 3 2, 4 4)
1228631664, F68F2079, Standard Portals (21, 1 3 3 2 2, 6 4)
1239293683, 6C1F2A4F, Standard Portals (18, 1 3 2 2 2, 4 4)
1243509671, 92558511, Standard Portals (24, 1 4 3 2 2, 8 4)
1249217332, F610DC86, Standard Portals (18, 1 4 2 3 2, 3 3)
1250723907, 185B8CBB, Standard Portals (19, 1 3 2 2 2, 4 5)
1267770225, 5CA6E872, Standard Portals (20, 1 3 2 3 2, 5 4)
1270200985, 9C22DD6A, Standard Portals (15, 1 3 2 2 2, 3 2)
1279018187, 3BDF79AD, Standard Portals (18, 1 3 2 2 2, 3 5)
1300714669, C4802C30, Standard Portals (24, 1 3 2 4 2, 8 4)
1335388654, 06F964E1, Standard Portals (20, 1 3 2 2 2, 6 4)
1347693963, D521D183, Standard Portals (21, 1 3 2 2 2, 7 4)
1348038135, 701E9282, Standard Portals (20, 1 4 2 3 3, 4 3)
1352004778, 47BBA8B9, Standard Portals (22, 1 3 2 2 2, 7 5)
1352536589, 195C2876, Standard Portals (23, 1 3 2 2 2, 8 5)
1359629495, 517F9F2B, Standard Portals (21, 1 3 2 3 2, 6 4)
1363485712, 5F005518, Standard Portals (22, 1 3 2 3 2, 7 4)
1375298323, B26317B9, Standard Portals (20, 1 3 2 4 2, 4 4)
1377980797, 5AA5D2E9, Standard Portals (25, 1 4 2 4 2, 7 5)
1380603987, BE33D769, Standard Portals (22, 1 3 3 2 3, 6 4)
1386942523, 4ADBF095, Standard Portals (17, 1 3 2 3 2, 3 3)
1393520173, 376BD5AB, Standard Portals (24, 1 3 2 2 2, 8 6)
1395226209, A3A1F9A1, Standard Portals (18, 1 3 2 2 2, 6 2)
1396266759, F2CF04D7, Standard Portals (21, 1 3 3 2 2, 6 4)
1411021769, 027F4BDD, Standard Portals (20, 1 4 2 2 3, 5 3)
1420103613, 3FE55465, Standard Portals (19, 1 3 2 2 2, 4 5)
1425856500, F1A75D5D, Standard Portals (22, 1 3 3 3 2, 6 4)
1427091626, 7B9C5A68, Standard Portals (23, 1 3 2 2 3, 8 4)
1428496529, 8D4AD85E, Standard Portals (22, 1 3 2 2 3, 8 3)
1430150409, 7E98878A, Standard Portals (17, 1 3 2 2 3, 4 2)
1433884927, 09293F65, Standard Portals (20, 1 3 2 3 2, 6 3)
1455229030, 39B0F568, Standard Portals (20, 1 4 2 2 2, 4 5)
1458737297, 77E66196, Standard Portals (22, 1 3 2 4 3, 5 4)
1460789018, 80D530B9, Standard Portals (23, 1 3 2 2 3, 6 6)
